DateTime,news,polarity_description,polarity,subjectivity
2019-06-28,"Wall St, Main St. Look For Gold Prices To Continue To Shine",Positive,0.16666666666666666,0.3333333333333333
2019-06-28,Cooking for gold: How the German team prepares for the Culinary Olympics,Neutral,0.0,0.0
2019-06-28,"Can Gold Hold $1,400 After G20 Meeting?",Neutral,0.0,0.0
2019-06-28,Should You Buy Gold ETFs Now?,Neutral,0.0,0.0
2019-06-28,PRECIOUS-Gold gains ahead of U.S.-China trade talks; Platinum jumps 3%,Neutral,0.0,0.0
2019-06-28,Gold gains ahead of U.S.-China trade talks; Platinum jumps 3%,Neutral,0.0,0.0
2019-06-28,"Gold gains ahead of U.S.-China trade talks, set for best month since 2016",Positive,1.0,0.3
2019-06-28,Gold futures post biggest monthly gain in 3 years,Neutral,0.0,0.0
2019-06-29,"Market Snapshot: Stocks, gold and bond investors face one simple fact: synchronized rally means nothing is cheap",Positive,0.2,0.5285714285714286
2019-06-30,"NewsWatch: Bargain hunters for stocks, gold and bonds face one simple fact: synchronized rally means nothing is cheap",Positive,0.2,0.5285714285714286
2019-06-30,"Haiti beats Canada, reaches Gold Cup semifinals",Neutral,0.0,0.0
2019-06-30,"Mexico beats Costa Rica in shootout, reaches Gold Cup semis",Neutral,0.0,0.0
2019-06-30,Is Yamana Gold a Buy?,Neutral,0.0,0.0
2019-07-01,"Gold falls 2% as dollar, equities gain on U.S.-China truce",Neutral,0.0,0.0
2019-07-01,Gold Prices Struggle As ISM Data Beat Expectations,Neutral,0.0,0.0
2019-07-01,"Gold Mining Tops in June: 5 Best ETFs, Stocks",Positive,1.0,0.3
2019-07-01,UPDATE 1-Barrick-Newmont Nevada JV to produce 1.8-1.9 mln ounces of gold in second half of 2019,Negative,-0.08333333333333333,0.08333333333333333
2019-07-01,Polyus predicts â€˜waveâ€™ of gold M&A this year,Neutral,0.0,0.0
2019-07-01,Gold Slips on Prospects of US-China Trade War Truce,Neutral,0.0,0.0
2019-07-01,"Like Magic, Gold Trades To Our Levels",Positive,0.5,1.0
2019-07-01,Analysts: Gold Due For Profit-Taking After Bulls Hike Positioning,Negative,-0.125,0.375
2019-07-01,UBS: â€˜We Expect Gold To Ultimately Be Supportedâ€™,Neutral,0.0,1.0
2019-07-01,Cleaning up China's waterways proves liquid gold for Australian firm,Positive,0.033333333333333326,0.13333333333333333
2019-07-01,"Metals Stocks: Gold ends below $1,400, suffers biggest one-day loss in a year after China-U.S. trade cease-fire",Negative,-0.6,0.7
2019-07-01,"Gold mining set for â€˜waveâ€™ of M&A this year, says Polyus",Neutral,0.0,0.0
2019-07-01,"UPDATE 1-Freeport-McMoran expects to post Q2 loss, cuts gold sales outlook",Neutral,0.0,0.0
2019-07-01,Gold Down Sharply As Risk Appetite Upticks,Negative,-0.14027777777777778,0.5194444444444445
2019-07-01,Barrick-Newmont Nevada JV plans to produce 1.8-1.9 mln ounces of gold in second half of 2019,Negative,-0.08333333333333333,0.08333333333333333
2019-07-01,Royal Bank of Canada : Form 8.5 (EPT/NON-RI) Barrick Gold,Neutral,0.0,0.0
2019-07-01,Fin24.com | Gold sinks most in a year as trade truce deals blow to bulls,Positive,0.2,0.25
2019-07-01,"UPDATE 2-Freeport-McMoRan expects Q2 loss, cuts gold sales outlook",Neutral,0.0,0.0
2019-07-01,"GLOBAL MARKETS-U.S.-China trade truce lifts global stocks, gold falls",Neutral,0.0,0.0
2019-07-01,"U.S.-China trade truce lifts global stocks, gold falls",Neutral,0.0,0.0
2019-07-01,Gold futures post biggest one-day percentage drop since June 2018,Neutral,0.0,0.0
2019-07-01,"Gold falls as dollar, equities gain on U.S.-China truce",Neutral,0.0,0.0
2019-07-01,Can Gold Mining ETFs Keep Soaring?,Neutral,0.0,0.0
2019-07-01,Physical Gold Demand Is Weak Pillar In Global Marketplace,Negative,-0.125,0.25595238095238093
2019-07-01,"The Trade War, the Gold Correction, and the Opportunity",Neutral,0.0,0.0
2019-07-01,"The Real Winners Of A Gold Price Rally, According To Expert",Positive,0.2,0.30000000000000004
2019-07-01,"Global Markets: U.S.-China trade truce lifts global stocks, gold falls",Neutral,0.0,0.0
2019-07-01,US shares hit record and gold drops as trade talk hopes rise,Neutral,0.0,0.0
2019-07-01,Katoro Gold Announces Haneti Nickel Project Update In Tanzania,Neutral,0.0,0.0
2019-07-01,Gold slides by the most in a year after Trump and Xiâ€™s trade truce renews investors' confidence,Positive,0.5,0.5
2019-07-01,Easing Geopolitical Concerns Sink Gold Prices,Neutral,0.0,0.0
2019-07-01,Gold sinks most in a year as US-China trade truce whacks bulls,Positive,0.2,0.25
2019-07-01,"Gold Prices Plunge Below $1,400 As Markets Open After G20",Neutral,0.0,0.5
2019-07-01,Gold rush 2.0: Jewellers mine mobiles for metals,Neutral,0.0,0.0
2019-07-01,Heavy metal: First gold poured at Western Australia's newest gold mine,Positive,0.016666666666666663,0.27777777777777773
2019-07-01,Jamaica beats Panama 1-0 to advance to Gold Cup semifinals,Neutral,0.0,0.0
2019-07-01,First gold poured at Gruyere,Positive,0.25,0.3333333333333333
2019-07-01,Tectonic Gold Plc : Total Voting Rights,Neutral,0.0,0.75
2019-07-01,Gold sinks most since 2018 as easing trade tension knocks havens,Positive,0.2,0.25
2019-07-01,China Nonferrous Gold : Extension of CNMC Loans,Neutral,0.0,0.0
2019-07-01,China Nonferrous Gold : Annual Report and Accounts,Neutral,0.0,0.0
2019-07-01,PRECIOUS-Gold slips to 1-week low as U.S.-China trade optimism lifts risk sentiment,Neutral,0.0,0.3
2019-07-01,'It's Bizarre': $1.1 Million In Gold Bars Stolen From Canadian Home Near U.S.-Canada Border,Positive,0.25,0.5
2019-07-01,Royal Bank of Canada : Form 8.5 (EPT/NON-RI) Barrick Gold Corporation,Neutral,0.0,0.0
2019-07-01,Gold hits more than one-week low as trade truce dents safe-haven demand,Positive,0.25,0.4
2019-07-01,PRECIOUS-Gold tumbles nearly 2% as trade truce dents safe-haven demand,Positive,0.1,0.4
2019-07-01,Gold falls more than 1% as U.S.-China trade truce dents safe-haven demand,Positive,0.5,0.5
2019-07-01,Pure Gold Mining Inc : AGM Results and Investor Relations Appointment,Positive,0.21428571428571427,0.5
2019-07-01,Trans-Siberian Gold : New Corporate Presentation,Positive,0.06818181818181818,0.22727272727272727
2019-07-01,Condor Gold PLC : Grant of Cerro Los Cerritos concession,Neutral,0.0,0.0
2019-07-01,"US beats Curacao 1-0, plays Jamaica in Gold Cup semifinals",Neutral,0.0,0.0
2019-07-01,Gold tumbles nearly 2% as trade truce dents safe-haven demand,Positive,0.1,0.4
2019-07-01,Ridgestone Agrees To Acquire Rebeico Gold-Copper Project At Sonora In Mexico,Neutral,0.0,0.0
2019-07-01,Ely Gold Announces Management Changes,Neutral,0.0,0.0
2019-07-01,Cora Gold Limited : Directorate Change,Negative,-0.07142857142857142,0.14285714285714285
2019-07-01,Prize Mining Retains JDS Energy And Mining For The Kena Gold Project,Neutral,0.0,0.0
2019-07-01,Lundin Gold Initiates Mining Of First Production Stope At Fruta Del Norte In Ecuador,Positive,0.25,0.3333333333333333
2019-07-01,Ultra Lithium Acquires 13 Additional Gold Mining Licenses In Argentina,Neutral,0.0,0.0
2019-07-01,Max Resource Expands North Choco To Include 12 Historic Gold Mines And 4 Significant Gold Zones,Positive,0.1875,0.4375
2019-07-01,Thor Mining Announces Pilot Mountain Gold Sampling Drills In Nevada USA,Neutral,0.0,0.0
2019-07-01,"IronRidge Resources : Exploration Update - Gold Projects, Cote d'Ivoire",Neutral,0.0,0.0
2019-07-02,INTL FCStone: Gold To Hold In Higher Range during July,Positive,0.25,0.5
2019-07-02,Gold Prices Gain As Risk Appetite Less Keen,Negative,-0.16666666666666666,0.06666666666666667
2019-07-02,Beat the System: Kellogg is sitting on a â€˜fake meatâ€™ gold mine bigger than Beyond Meat,Negative,-0.25,0.75
2019-07-02,Junior Miners Not Benefiting From Higher Gold Prices...For Now - Mickey Fulp,Positive,0.25,0.5
2019-07-02,"LBMA: Gold, Silver Ounces Transferred Daily Decline In May",Neutral,0.0,0.0
2019-07-02,Rise Gold Provides Grade Ranges and Clarifications for Initial Exploration Target,Neutral,0.0,0.0
2019-07-02,"Gold Extends Gains In Late-Morning Action, Back Above $1,400.00",Positive,0.03333333333333333,0.06666666666666667
2019-07-02,Gold jumps 1.5% as yields dropped on global on growth concerns,Neutral,0.0,0.0
2019-07-02,Corrected: Gold jumps 1.5% as yields dropped on global on growth concerns,Neutral,0.0,0.0
2019-07-02,"Dow falls to session lows as gold, bond prices see midday surge",Neutral,0.0,0.0
