year,month,date_text,day,day_no,open_price,daily_low,daily_high,closing_price,trend,open_equals_closing,all_day_maintain,closing_at_daily_low,closing_at_daily_high
2014,October,2014-10-27,Monday,1,1228.5,1225.45,1231.85,1226.05,,0,0,0,0
2014,October,2014-10-28,Tuesday,2,1227.25,1227.25,1227.25,1227.25,upward,1,1,1,1
2014,October,2014-10-29,Wednesday,3,1228.45,1209.45,1230.6,1211.08,downward,0,0,0,0
2014,October,2014-10-30,Thursday,4,1211.2,1196.15,1215.65,1200.2,downward,0,0,0,0
2014,October,2014-10-31,Friday,5,1200.35,1162.05,1202.75,1174.4,downward,0,0,0,0
2014,November,2014-11-01,Saturday,6,1174.4,1174.4,1174.4,1174.4,maintain,1,1,1,1
2014,November,2014-11-02,Sunday,7,1174.4,1174.4,1174.4,1174.4,maintain,1,1,1,1
2014,November,2014-11-03,Monday,1,1167.75,1162.85,1173.65,1167.9,downward,0,0,0,0
2014,November,2014-11-04,Tuesday,2,1165.4,1164.1,1173.25,1168.6,upward,0,0,0,0
2014,November,2014-11-05,Wednesday,3,1168.95,1138.05,1169.65,1140.5,downward,0,0,0,0
2014,November,2014-11-06,Thursday,4,1142.2,1138.6,1149.4,1142.43,upward,0,0,0,0
2014,November,2014-11-07,Friday,5,1140.15,1132.65,1179.13,1178.7,upward,0,0,0,0
2014,November,2014-11-08,Saturday,6,1176.75,1176.75,1176.75,1176.75,downward,1,1,1,1
2014,November,2014-11-09,Sunday,7,1176.75,1176.75,1176.75,1176.75,maintain,1,1,1,1
2014,November,2014-11-10,Monday,1,1174.8,1147.55,1176.55,1147.6,downward,0,0,0,0
2014,November,2014-11-11,Tuesday,2,1151.18,1140.0,1172.75,1140.0,downward,0,0,1,0
2014,November,2014-11-12,Wednesday,3,1164.5,1157.5,1169.5,1165.1,upward,0,0,0,0
2014,November,2014-11-13,Thursday,4,1161.95,1154.35,1167.65,1163.1,downward,0,0,0,0
2014,November,2014-11-14,Friday,5,1162.5,1148.15,1193.43,1189.65,upward,0,0,0,0
2014,November,2014-11-15,Saturday,6,1187.7,1187.7,1187.7,1187.7,downward,1,1,1,1
2014,November,2014-11-16,Sunday,7,1187.7,1187.7,1187.7,1187.7,maintain,1,1,1,1
2014,November,2014-11-17,Monday,1,1185.75,1181.85,1194.35,1186.95,downward,0,0,0,0
2014,November,2014-11-18,Tuesday,2,1186.85,1183.65,1204.35,1197.4,upward,0,0,0,0
2014,November,2014-11-19,Wednesday,3,1196.25,1176.33,1202.25,1178.0,downward,0,0,0,0
2014,November,2014-11-20,Thursday,4,1183.65,1177.1,1197.2,1189.6,upward,0,0,0,0
2014,November,2014-11-21,Friday,5,1193.45,1187.73,1206.88,1201.6,upward,0,0,0,0
2014,November,2014-11-22,Saturday,6,1201.875,1201.875,1201.875,1201.875,upward,1,1,1,1
2014,November,2014-11-23,Sunday,7,1201.875,1201.875,1201.875,1201.875,maintain,1,1,1,1
2014,November,2014-11-24,Monday,1,1202.15,1193.08,1204.25,1198.5,downward,0,0,0,0
2014,November,2014-11-25,Tuesday,2,1198.4,1191.9,1202.85,1201.15,upward,0,0,0,0
2014,November,2014-11-26,Wednesday,3,1201.55,1195.3,1201.95,1198.58,downward,0,0,0,0
